Field,Moment,FieldParasub,MomentParasub
-3.41E-01,-8.60E-06,-3.41E-01,-6.04E-06
-3.44E-01,-8.64E-06,-3.44E-01,-6.05E-06
-3.47E-01,-8.66E-06,-3.47E-01,-6.06E-06
-3.50E-01,-8.68E-06,-3.50E-01,-6.06E-06
-3.53E-01,-8.72E-06,-3.53E-01,-6.07E-06
-3.55E-01,-8.73E-06,-3.55E-01,-6.06E-06
-3.58E-01,-8.77E-06,-3.58E-01,-6.08E-06
-3.62E-01,-8.79E-06,-3.62E-01,-6.08E-06
-3.65E-01,-8.81E-06,-3.65E-01,-6.07E-06
-3.68E-01,-8.84E-06,-3.68E-01,-6.08E-06
-3.71E-01,-8.87E-06,-3.71E-01,-6.09E-06
-3.74E-01,-8.89E-06,-3.74E-01,-6.08E-06
-3.77E-01,-8.92E-06,-3.77E-01,-6.09E-06
-3.80E-01,-8.94E-06,-3.80E-01,-6.09E-06
-3.83E-01,-8.96E-06,-3.83E-01,-6.09E-06
-3.86E-01,-8.99E-06,-3.86E-01,-6.09E-06
-3.89E-01,-9.02E-06,-3.89E-01,-6.10E-06
-3.92E-01,-9.04E-06,-3.92E-01,-6.09E-06
-3.95E-01,-9.07E-06,-3.95E-01,-6.10E-06
-3.98E-01,-9.09E-06,-3.98E-01,-6.10E-06
-4.01E-01,-9.12E-06,-4.01E-01,-6.11E-06
-4.04E-01,-9.13E-06,-4.04E-01,-6.10E-06
-4.07E-01,-9.17E-06,-4.07E-01,-6.11E-06
-4.10E-01,-9.19E-06,-4.10E-01,-6.11E-06
-4.13E-01,-9.21E-06,-4.13E-01,-6.11E-06
-4.16E-01,-9.23E-06,-4.16E-01,-6.11E-06
-4.19E-01,-9.25E-06,-4.19E-01,-6.10E-06
