Name	Field	Freq.	Km	L	F	P	Pj	T	U	K1dec	K1inc	K2dec	K2inc	K3dec	K3inc	K11	K22	K33	K12	K23	K13
AME16147_B2	423	F1	1268.697	1.315	1.332	1.751	1.751	0.023	-0.117	258.9	37.1	165.8	4	70.6	52.6	0.97585	1.08694	0.93721	0.00886	-0.25642	-0.06782
AME16147_C1	423	F1	5114.257	1.432	1.415	2.027	2.027	-0.017	-0.191	257.1	32.5	164.3	4.4	67.5	57.1	0.95834	1.16397	0.87769	0.03477	-0.30066	-0.091
AME16147_C2	423	F1	3551.4	1.362	1.333	1.815	1.816	-0.037	-0.185	255.9	32.7	163.7	3.3	68.6	57.1	0.96907	1.13484	0.89609	0.03453	-0.25611	-0.07871
AME16152_A1	423	F1	1446.451	1.154	1.02	1.177	1.194	-0.756	-0.773	164.5	54	6.3	34	269.2	10.4	1.00434	0.94271	1.05295	-0.01332	0.02204	-0.06727
AME16152_B1	423	F1	973.5778	1.122	1.034	1.16	1.169	-0.555	-0.58	166.6	52.7	340.8	37.1	72.9	2.8	1.0094	0.94449	1.04611	-0.01868	0.01181	-0.05616
AME16152_B2	423	F1	1109.834	1.115	1.041	1.161	1.166	-0.458	-0.487	175	51.5	355	38.5	85	0	1.01824	0.93763	1.04413	-0.00707	0.00471	-0.05428
AME16152_C1	423	F1	1277.408	1.139	1.029	1.172	1.184	-0.645	-0.668	149.1	49	346.6	39.7	249.2	8.7	1.00338	0.95655	1.04007	-0.03417	0.03797	-0.05563
AME16152_C2	423	F1	1556.106	1.148	1.061	1.218	1.224	-0.399	-0.44	154.8	49.9	11.9	33.9	268.7	18.8	1.01946	0.93146	1.04908	-0.02407	0.0471	-0.06362
AME16152_C3	423	F1	1616.489	1.157	1.046	1.21	1.221	-0.53	-0.563	155	44.5	358.8	42.9	257.2	12.2	1.02485	0.93893	1.03622	-0.03822	0.04056	-0.0667
AME16156_A1	423	F1	19.58374	1.049	1.102	1.156	1.159	0.345	0.313	262	23	169.9	4.8	68.8	66.4	1.01378	1.04276	0.94347	0.00067	-0.04977	-0.01497
AME16156_A2	423	F1	24.42396	1.036	1.05	1.088	1.089	0.16	0.139	275.5	18.2	185	1.5	90.4	71.8	1.00422	1.03169	0.96409	-0.00311	-0.02499	0.00112
AME16156_B1	423	F1	9.691105	1.141	1.144	1.306	1.306	0.01	-0.057	247.5	26.3	155.8	3.4	59.1	63.4	1.00493	1.07293	0.92214	0.02899	-0.09466	-0.04723
AME16156_B2	423	F1	10.77996	1.081	1.098	1.187	1.187	0.089	0.047	241.8	24.2	150.4	3	53.8	65.6	1.01244	1.04518	0.94239	0.02088	-0.05397	-0.03424
AME16156_C1	423	F1	7.29624	1.054	1.197	1.262	1.277	0.546	0.505	226.3	29	323.4	12.6	74.2	57.9	1.05524	1.01601	0.92874	0.00887	-0.09139	-0.03744
AME16156_D1	423	F1	61.51416	1.119	1.016	1.137	1.15	-0.747	-0.761	236.8	50.6	344.1	13.7	84.4	36.1	0.98073	0.9893	1.02998	0.02024	-0.05453	-0.03157
AME16157_A1	423	F1	310.3358	1.067	1.035	1.105	1.107	-0.304	-0.326	253.9	27.7	3.9	33	133.2	44.2	0.98497	1.028	0.98703	0.02252	-0.03861	0.00398
AME16157_B1	423	F1	380.5106	1.078	1.042	1.124	1.125	-0.288	-0.314	263.7	54.1	154.3	13.5	55.5	32.5	0.97888	0.99442	1.0267	-0.01045	-0.05135	-0.01432
AME16157_C1	423	F1	115.6529	1.031	1.094	1.129	1.134	0.489	0.466	263.4	29.9	9.4	25.5	132.4	48.8	1.00156	1.02154	0.9769	0.0217	-0.04581	0.02774
