wkt_geom,field_1,fieldStation,type,easting,northing,notes,strike,dip,assocTrend,assocPlunge,rake,trend,plunge,featureType,foliationType,otherStructure,otherStructureType,hingeTrend,hingePlunge,axialPlaneStrike,axialPlaneDip,sampleme,sampleOrientationNote,imageID,imageID2,imageID3,imageID4,imageID5,imageID6,imageID7,imageID8,imageID9,imageID10
Point (119.96149300000000437 -21.36251199999999884),859,Ame18fieldstation-562,Point,119.961493,-21.362512,,129,70,239,69,97,0,0,foliation,mineral_alignm,,,0,0,0,0,,,,,,,,,,,,
Point (119.96018999999999721 -21.35922800000000166),1986,AME18FieldStation-555,Point,119.96019,-21.359228,,140,80,275,76,100,0,0,foliation,schistosity,,,0,0,0,0,,,,,,,,,,,,
Point (119.9562180000000069 -21.3545960000000008),1997,AME18FieldStation-565,Point,119.956218,-21.354596,,150,76,276,73,100,0,0,foliation,schistosity,,,0,0,0,0,,,,,,,,,,,,
Point (119.96174399999999594 -21.36164799999999886),623,Ame18fieldstation-371,Point,119.961744,-21.361648,Modules_of_amphibolite_metabasalt;_with_zones_of_curved_schist_layers_separating_them.,150,69,268,66,101,0,0,foliation,schistosity,,,0,0,0,0,,,15298913049116.jpg,,,,,,,,,
Point (119.96175800000000322 -21.36167500000000175),1215,AME 18 fieldstation-380,Point,119.961758,-21.361675,Strike_and_dip_of_CS;_basalt_contact_towards_center_of_fold_hinge,150,69,268,66,101,0,0,foliation,plar_schistosity,,,0,0,0,0,,,15298912545531.jpg,,,,,,,,,
Point (119.96174399999999594 -21.36169599999999846),1763,AME18FieldStation-365,Point,119.961744,-21.361696,Contact_of_both_units,154,83,302,77,101,0,0,foliation,schistosity,,,0,0,0,0,,,15298912167851.jpg,,,,,,,,,
Point (119.96779343333000156 -21.36822918333299981),185,Ame18fieldstation-109,Point,119.96779343333,-21.368229183333,Three_thin_units_close_together;_all_dipping_away_from_the_dome._Farthest_south;_a_.3_m_chert_bed;_strongly_lineated._Directly_south;_a_1_m_zone_of_porphyroclasts_bearing_felsic_schist._Along_strike_to_the_West_by_3_meters;_the_schist_is_less_micaceous;_but_has_small_red_dots_that_may_be_garnet.,144,72,269,68,102,0,0,foliation,schistosity,,,0,0,0,0,Ame18-52a geochemistry,,15271389578386.jpg,,,,,,,,,
Point (119.96048299999999642 -21.35825200000000024),1988,AME18FieldStation-557,Point,119.960483,-21.358252,Garnets!,140,77,278,71,104,0,0,foliation,schistosity,,,0,0,0,0,,,,,,,,,,,,
Point (119.96717316666999409 -21.37069716666700003),149,Ame18fieldstation-90,Point,119.96717316667,-21.370697166667,Felsic_pelitic_schist_with_quartz_or_felsic_porphyroclasts_that_show_reverse_shear_sense.,128,74,262,68,105,0,0,foliation,schistosity,,,0,0,0,0,Ame18-46,128 74 measured on underside.,15271201005460.jpg,,,,,,,,,
Point (119.96586725000000229 -21.37189485000000033),161,Ame18fieldstation-95,Point,119.96586725,-21.37189485,Felsic;_finely_lamited_muscovite_schist;_with_booudined_and_folded_quartz_veins_and_a_strong_nearly_downdip_crenulation_defines_by_muscovite.,146,51,259,49,105,0,0,foliation,schistosity,fold,,241,43,115,43,Ame18-047,H n,15271261948390.jpg,15271258253198.jpg,,,,,,,,
Point (119.96794488333000572 -21.36811356666699879),190,Ame18fieldstation-110,Point,119.96794488333,-21.368113566667,Huge_1_cm_or_larger_garnets_with_quartz_tails_in_a_quartzofeldspathic_schist._Beautiful_shear_sense;_though_hard_to_determine_lineation.,135,84,294,74,105,0,0,foliation,schistosity,,,0,0,0,0,Ame18-53c,,15271457436345.jpg,,,,,,,,,
Point (119.96019400000000132 -21.35940899999999942),879,Ame18fieldstation-576,Point,119.960194,-21.359409,,134,84,293,74,105,0,0,foliation,schistosity,,,0,0,0,0,,,,,,,,,,,,
Point (119.96048100000000147 -21.35825000000000173),882,Ame18fieldstation-579,Point,119.960481,-21.35825,,140,77,282,69,106,0,0,foliation,schistosity,,,0,0,0,0,,,15307680408665.jpg,15307676951102.jpg,15307676881353.jpg,,,,,,,
