site number,specimen,rock type,easting,northing,L,F,P,Pj,T,max,int,min,Dmax (in-situ),Imax (in-situ),Dmin (in-situ),Imin (in-situ),e12,e23,e31,comments
cy13-201,CY13-201a-3,dikes,484573.6776,3860542.288,1.00636,1.00585,1.01225,1.01225,-0.0417773,11.1854,11.1146,11.05,269.82,59.5068,117.042,27.6393,8.84773E-12,9.67797E-12,4.62212E-12,
cy13-201,CY13-201b-1,dikes,484573.6776,3860542.288,1.00872,1.00638,1.01515,1.01521,-0.154735,16.6811,16.5369,16.4321,8.80623,60.3732,144.567,22.1677,9.57835,13.0763,5.58233,
cy13-201,CY13-201b-2a,dikes,484573.6776,3860542.288,1.01023,1.00719,1.01749,1.01758,-0.173725,16.9577,16.786,16.6663,-78.6499,46.9208,150.423,31.4911,6.26653,8.94179,3.70039,
cy13-201,CY13-201b-2b,dikes,484573.6776,3860542.288,1.00698,1.00962,1.01667,1.01674,0.158339,16.9115,16.7943,16.6342,-67.3571,53.2326,-226.874,34.9907,9.13237,6.71704,3.88864,
cy13-201,CY13-201b-3a,dikes,484573.6776,3860542.288,1.00415,1.00704,1.01122,1.01134,0.257427,19.8541,19.772,19.6338,-34.2245,51.228,169.726,36.2808,17.2716,10.4613,6.60802,
cy13-201,CY13-201b-3b,dikes,484573.6776,3860542.288,1.00479,1.00624,1.01106,1.01109,0.130759,19.874,19.7793,19.6567,-35.6015,45.1186,172.758,41.2297,11.2499,8.74074,4.95623,
cy13-201,CY13-201b-4a,dikes,484573.6776,3860542.288,1.01003,1.00243,1.01249,1.01324,-0.608543,11.361,11.2481,11.2208,-29.2818,38.4167,158.311,51.3374,11.5601,40.2224,9.35319,
cy13-201,CY13-201b-4b,dikes,484573.6776,3860542.288,1.00516,1.00432,1.0095,1.00951,-0.0883197,12.2527,12.1898,12.1374,-24.0853,48.6276,199.043,32.7332,13.7519,16.3589,7.60187,
cy13-202,CY13-202a-1,dikes,483595.3968,3860085.219,1.00377,1.0004,1.00417,1.0046,-0.807402,549.031,546.969,546.75,109.926,48.8419,-39.08,36.8456,28.748,79.0295,26.3743,
cy13-202,CY13-202a-2a,dikes,483595.3968,3860085.219,1.00178,1,1.00178,1.00206,-1,561.85,560.85,560.85,154.66,23.2915,21.3982,57.865,37.0141,90,37.0141,
cy13-202,CY13-202a-2b,dikes,483595.3968,3860085.219,1.00185,1.00186,1.00371,1.00371,0.000926871,540.45,539.45,538.45,205,34,25,56,49.0319,49.0319,29.9347,
cy13-202,CY13-202b-1,dikes,483595.3968,3860085.219,1.0099,1.00267,1.01259,1.01327,-0.574572,24.1289,23.8923,23.8288,137.821,10.9878,45.5203,11.6813,5.03597E-12,1.87559E-11,3.97002E-12,
cy13-202,CY13-202b-2a,dikes,483595.3968,3860085.219,1.00945,1.00031,1.00976,1.0111,-0.935804,25.0623,24.8277,24.82,139.491,18.3153,38.2139,30.574,4.59501,67.6759,4.44881,
cy13-202,CY13-202b-2b,dikes,483595.3968,3860085.219,1.00764,1.00415,1.01183,1.012,-0.295432,24.9402,24.751,24.6487,143.705,8.08792,234.332,4.40563,5.68882,10.4389,3.6994,
cy13-202,CY13-202b-2c,dikes,483595.3968,3860085.219,1.00874,1.00557,1.01435,1.01447,-0.22106,24.11,23.9011,23.7689,143.604,12.3196,51.9208,7.66131,4.21427,6.63571,2.58299,
cy13-207,CY13-207a-1a,dikes,478473.6963,3862875.644,1.008,1.00465,1.01269,1.01284,-0.264285,26.4505,26.2405,26.119,126.105,6.85343,23.7807,60.6158,5.12801,8.82135,3.25435,
